Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1635481576,2021-10-29T04:26:16Z,ANZ1005,"33.943356,-118.42868",500,0,250
1635481614,2021-10-29T04:26:54Z,ANZ1005,"33.943378,-118.428467",500,2,250
1635481632,2021-10-29T04:27:12Z,ANZ1005,"33.943394,-118.428261",505,2,250
1635481652,2021-10-29T04:27:32Z,ANZ1005,"33.943424,-118.42804",505,2,250
1635481673,2021-10-29T04:27:53Z,ANZ1005,"33.943474,-118.427826",510,1,267
1635481696,2021-10-29T04:28:16Z,ANZ1005,"33.943493,-118.427612",510,1,298
1635481719,2021-10-29T04:28:39Z,ANZ1005,"33.943417,-118.427406",510,2,329
1635481945,2021-10-29T04:32:25Z,ANZ1005,"33.943634,-118.427368",512,5,340
1635481952,2021-10-29T04:32:32Z,ANZ1005,"33.943855,-118.427399",512,7,340
1635481958,2021-10-29T04:32:38Z,ANZ1005,"33.94408,-118.427429",515,9,340
1635481964,2021-10-29T04:32:44Z,ANZ1005,"33.944332,-118.427483",515,9,340
1635481971,2021-10-29T04:32:51Z,ANZ1005,"33.944607,-118.427513",520,9,340
1635481977,2021-10-29T04:32:57Z,ANZ1005,"33.944855,-118.427567",530,8,340